Title of Away Team,Short Title of Away Team,Title of Home Team,Short Title of Home Team,DateTime,Chances for draw,Chances for away team,Chances for home team,Away team goals,Home team goals
Sevilla,SEV,Osasuna,OSA,2022-08-12 19:00:00,0.3237,0.2113,0.465,1,2
Espanyol,ESP,Celta Vigo,CEL,2022-08-13 15:00:00,0.3037,0.6128,0.0835,2,2
Villarreal,VIL,Real Valladolid,VAL,2022-08-13 17:00:00,0.2992,0.5008,0.2,3,0
Rayo Vallecano,RVL,Barcelona,BAR,2022-08-13 19:00:00,0.2936,0.2006,0.5058,0,0
Real Sociedad,SOC,Cadiz,CAD,2022-08-14 15:30:00,0.0672,0.9192,0.0136,1,0
Girona,GIR,Valencia,VAL,2022-08-14 17:30:00,0.1014,0.0089,0.8897,0,1
Real Madrid,RMA,Almeria,ALM,2022-08-14 20:00:00,0.1,0.8576,0.0424,2,1
Mallorca,MAL,Athletic Club,ATH,2022-08-15 15:30:00,0.2182,0.0873,0.6945,0,0
Atletico Madrid,ATL,Getafe,GET,2022-08-15 17:30:00,0.2768,0.4592,0.264,3,0
Elche,ELC,Real Betis,BET,2022-08-15 19:30:00,0.0052,0.0003,0.9945,0,3
Rayo Vallecano,RVL,Espanyol,ESP,2022-08-19 18:00:00,0.2425,0.603,0.1545,2,0
Real Valladolid,VAL,Sevilla,SEV,2022-08-19 20:00:00,0.1774,0.068,0.7546,1,1
Cadiz,CAD,Osasuna,OSA,2022-08-20 15:30:00,0.1131,0.0393,0.8476,0,2
Real Betis,BET,Mallorca,MAL,2022-08-20 17:30:00,0.241,0.5807,0.1783,2,1
Real Madrid,RMA,Celta Vigo,CEL,2022-08-20 20:00:00,0.0824,0.8881,0.0295,4,1
Valencia,VAL,Athletic Club,ATH,2022-08-21 15:30:00,0.3746,0.2862,0.3392,0,1
Villarreal,VIL,Atletico Madrid,ATL,2022-08-21 17:30:00,0.2472,0.4687,0.2841,2,0
Barcelona,BAR,Real Sociedad,SOC,2022-08-21 20:00:00,0.1945,0.7004,0.1051,4,1
Almeria,ALM,Elche,ELC,2022-08-22 18:00:00,0.3363,0.3565,0.3072,1,1
Getafe,GET,Girona,GIR,2022-08-22 20:00:00,0.2677,0.1306,0.6017,1,3
Celta Vigo,CEL,Girona,GIR,2022-08-26 18:00:00,0.4247,0.3074,0.2679,1,0
Osasuna,OSA,Real Betis,BET,2022-08-26 20:00:00,0.3633,0.4558,0.1809,0,1
Real Sociedad,SOC,Elche,ELC,2022-08-27 15:30:00,0.2745,0.5186,0.2069,1,0
Mallorca,MAL,Rayo Vallecano,RVL,2022-08-27 17:30:00,0.3411,0.3406,0.3183,2,0
Sevilla,SEV,Almeria,ALM,2022-08-27 20:00:00,0.2373,0.1925,0.5702,1,2
Villarreal,VIL,Getafe,GET,2022-08-28 15:30:00,0.3033,0.6205,0.0762,0,0
Real Valladolid,VAL,Barcelona,BAR,2022-08-28 17:30:00,0.0757,0.0226,0.9017,0,4
Real Madrid,RMA,Espanyol,ESP,2022-08-28 20:00:00,0.2452,0.4662,0.2886,3,1
Athletic Club,ATH,Cadiz,CAD,2022-08-29 18:00:00,0.0253,0.9706,0.0041,4,0
Atletico Madrid,ATL,Valencia,VAL,2022-08-29 20:00:00,0.1827,0.7225,0.0948,1,0
Cadiz,CAD,Celta Vigo,CEL,2022-09-02 19:00:00,0.1789,0.0367,0.7844,0,3
Girona,GIR,Mallorca,MAL,2022-09-03 12:00:00,0.3501,0.401,0.2489,1,1
Real Betis,BET,Real Madrid,RMA,2022-09-03 14:15:00,0.0366,0.0072,0.9562,1,2
Atletico Madrid,ATL,Real Sociedad,SOC,2022-09-03 16:30:00,0.2421,0.4945,0.2634,1,1
Barcelona,BAR,Sevilla,SEV,2022-09-03 19:00:00,0.0147,0.9826,0.0027,3,0
Rayo Vallecano,RVL,Osasuna,OSA,2022-09-04 12:00:00,0.0246,0.0025,0.9729,1,2
Espanyol,ESP,Athletic Club,ATH,2022-09-04 14:15:00,0.3075,0.3056,0.3869,1,0
Elche,ELC,Villarreal,VIL,2022-09-04 16:30:00,0.013,0.002,0.985,0,4
Getafe,GET,Valencia,VAL,2022-09-04 19:00:00,0.0825,0.0241,0.8934,1,5
Almeria,ALM,Real Valladolid,VAL,2022-09-05 19:00:00,0.1513,0.0568,0.7919,0,1
Real Valladolid,VAL,Girona,GIR,2022-09-09 19:00:00,0.0905,0.0311,0.8784,1,2
Valencia,VAL,Rayo Vallecano,RVL,2022-09-10 12:00:00,0.2573,0.4073,0.3354,1,2
Sevilla,SEV,Espanyol,ESP,2022-09-10 14:15:00,0.2721,0.3409,0.387,3,2
Barcelona,BAR,Cadiz,CAD,2022-09-10 16:30:00,0.0534,0.9382,0.0084,4,0
Celta Vigo,CEL,Atletico Madrid,ATL,2022-09-10 19:00:00,0.2874,0.4713,0.2413,1,4
Mallorca,MAL,Real Madrid,RMA,2022-09-11 12:00:00,0.2003,0.1132,0.6865,1,4
Athletic Club,ATH,Elche,ELC,2022-09-11 14:15:00,0.0622,0.9169,0.0209,4,1
Real Sociedad,SOC,Getafe,GET,2022-09-11 16:30:00,0.3265,0.3916,0.2819,1,2
Villarreal,VIL,Real Betis,BET,2022-09-11 19:00:00,0.2138,0.5826,0.2036,0,1
Osasuna,OSA,Almeria,ALM,2022-09-12 19:00:00,0.0949,0.8934,0.0117,1,0
Cadiz,CAD,Real Valladolid,VAL,2022-09-16 19:00:00,0.1858,0.0705,0.7437,1,0
Almeria,ALM,Mallorca,MAL,2022-09-17 12:00:00,0.3399,0.0909,0.5692,0,1
Elche,ELC,Barcelona,BAR,2022-09-17 14:15:00,0.0008,0,0.9992,0,3
Celta Vigo,CEL,Valencia,VAL,2022-09-17 16:30:00,0.1857,0.0757,0.7386,0,3
Rayo Vallecano,RVL,Athletic Club,ATH,2022-09-17 19:00:00,0.162,0.0718,0.7662,2,3
Getafe,GET,Osasuna,OSA,2022-09-18 12:00:00,0.3169,0.4401,0.243,2,0
Sevilla,SEV,Villarreal,VIL,2022-09-18 14:15:00,0.1274,0.0367,0.8359,1,1
Girona,GIR,Real Betis,BET,2022-09-18 16:30:00,0.3167,0.293,0.3903,1,2
Espanyol,ESP,Real Sociedad,SOC,2022-09-18 16:30:00,0.2057,0.1442,0.6501,1,2
Real Madrid,RMA,Atletico Madrid,ATL,2022-09-18 19:00:00,0.3437,0.3294,0.3269,2,1
